fusion_lon,bike_id,type,rental_uris,lon,fusion_lat,is_disabled,lat,name,is_reserved
0,f4022b1df677692b0fefe9e8ae03928b,electric_scooter,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.6457395,0,0,41.86274866666667,f4022b1df677692b0fefe9e8ae03928b,0
0,2d599fd65a457f79cd23635562e538b6,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.723089218,0,0,41.960930467,2d599fd65a457f79cd23635562e538b6,0
0,a17c2c2751d0ebc46d656a6ce1d1805d,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.722652316,0,0,41.899568558,a17c2c2751d0ebc46d656a6ce1d1805d,0
0,e48a34d778e49f895f44067a952b60ca,electric_scooter,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.64979183333334,0,0,41.87476766666666,e48a34d778e49f895f44067a952b60ca,0
0,1449e49aa66f6a1c923be7fcb77b3f20,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.677155137,0,0,41.872004867,1449e49aa66f6a1c923be7fcb77b3f20,0
0,79e6650d6e04b392dc5ed98090576348,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.677578,0,0,41.91312883333333,79e6650d6e04b392dc5ed98090576348,0
0,ca17d0d9b4bf26dc2e70855d60d4fc83,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.6766405,0,0,41.743935,ca17d0d9b4bf26dc2e70855d60d4fc83,0
0,42b3c2adee964941354931e88c1c6565,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.676520348,0,0,42.019542098,42b3c2adee964941354931e88c1c6565,0
0,ea03a84f3c57b9ef645a66e6a3120018,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.70512583333333,0,0,41.8535655,ea03a84f3c57b9ef645a66e6a3120018,0
0,8448857b206bcec193e928169da782ea,electric_scooter,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.622619,0,0,41.887397666666665,8448857b206bcec193e928169da782ea,0
0,d701130e0c99f5017391e090e7832fdc,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.7669065,0,0,41.95344333333333,d701130e0c99f5017391e090e7832fdc,0
0,a70314280d5c459f75087d5d8da2a777,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.70192433333334,0,0,41.77526233333333,a70314280d5c459f75087d5d8da2a777,0
0,b58016fbf93dd78f1cadaedad1b10d33,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.696992636,0,0,41.993235588,b58016fbf93dd78f1cadaedad1b10d33,0
0,a579842af9f379aad2bb9675cfd63a7a,electric_scooter,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.63014066666666,0,0,41.906809,a579842af9f379aad2bb9675cfd63a7a,0
0,efd46f931c140565ed35778684d1c074,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.644422293,0,0,41.682146192,efd46f931c140565ed35778684d1c074,0
0,71dd85f0410545b53796bf976e34fb71,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.690764904,0,0,42.005114436,71dd85f0410545b53796bf976e34fb71,0
0,9b7a9bfe8f94ad3248466e70612890c9,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.73373283333333,0,0,41.81138,9b7a9bfe8f94ad3248466e70612890c9,0
0,00bc279382c17211b0e79394ca09f884,electric_scooter,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.62535466666667,0,0,41.903228,00bc279382c17211b0e79394ca09f884,0
0,7965b24527a0673cc1c3b426b161b1cc,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.752275,0,0,41.9065845,7965b24527a0673cc1c3b426b161b1cc,0
0,07b1993316d3121b075909dc5db94c04,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.642739177,0,0,41.744792581,07b1993316d3121b075909dc5db94c04,0
0,c73f85d37c6e73398342ded48757b4c0,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.672716618,0,0,41.681065559,c73f85d37c6e73398342ded48757b4c0,0
0,63d08ef6ffac17938dfb6ad680bd8ec7,electric_scooter,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.62085583333334,0,0,41.8930155,63d08ef6ffac17938dfb6ad680bd8ec7,0
0,daf2867d2fb9fc6d3e0422274462b51b,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.70871985,0,0,41.882640123,daf2867d2fb9fc6d3e0422274462b51b,0
0,dbe7ed931251086dbe8644e2ad3721e0,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.78742133333333,0,0,41.95826133333333,dbe7ed931251086dbe8644e2ad3721e0,0
0,968e93b9ef6b85306aefd3c2f8a8150a,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.56685,0,0,41.76806833333333,968e93b9ef6b85306aefd3c2f8a8150a,0
0,b69b98d31a9d2cb7cddfdd5ba18b0624,electric_scooter,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.67404766666667,0,0,41.91612516666667,b69b98d31a9d2cb7cddfdd5ba18b0624,0
0,dafebb355f7cc0e54146bd73c8510401,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.64368316666666,0,0,41.92057466666667,dafebb355f7cc0e54146bd73c8510401,0
0,7f92b97b771482d0ae079f0f511ffb5e,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.66230917,0,0,41.929453015,7f92b97b771482d0ae079f0f511ffb5e,0
0,140660ccfa84b9ee49136b956128bfc1,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.69354933333334,0,0,41.932091666666665,140660ccfa84b9ee49136b956128bfc1,0
0,e90762438ef9a70fc1e5cc03da5f3e16,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.720040798,0,0,41.859946489,e90762438ef9a70fc1e5cc03da5f3e16,0
0,587d172a00328601077b4d55932dab74,electric_bike,"{'android': 'https://chi.lft.to/lastmile_qr_scan', 'ios': 'https://chi.lft.to/lastmile_qr_scan'}",-87.772454381,0,0,41.966022491,587d172a00328601077b4d55932dab74,0
