num_scooters_available,num_scooters_unavailable,is_installed,legacy_id,num_bikes_available,num_ebikes_available,is_renting,eightd_has_available_keys,num_bikes_disabled,num_docks_available,station_id,is_returning,last_reported,station_status,num_docks_disabled,valet,eightd_active_station_services,num_scooter_spots_available,num_bike_spots_available
0.0,0.0,1,678,5,1,1,False,0,10,a60781db-2bec-4a15-a4a2-363297aefcec,1,1683806844,active,0,,,,
0.0,0.0,1,551,6,1,1,False,0,5,a3b1fa1c-a135-11e9-9cda-0a87ae2ba916,1,1683806844,active,0,,,,
0.0,0.0,1,659,9,1,1,False,0,10,a3b48c07-a135-11e9-9cda-0a87ae2ba916,1,1683806842,active,0,,,,
0.0,0.0,1,219,8,1,1,False,0,11,a3a80512-a135-11e9-9cda-0a87ae2ba916,1,1683806843,active,0,,,,
2.0,0.0,1,147,5,2,1,False,0,8,a3a62fc9-a135-11e9-9cda-0a87ae2ba916,1,1683806841,active,0,,,,
0.0,0.0,1,631,9,9,1,False,0,10,a3b3915a-a135-11e9-9cda-0a87ae2ba916,1,1683806842,active,0,,,,
0.0,0.0,1,318,2,1,1,False,0,13,a3aa8ca0-a135-11e9-9cda-0a87ae2ba916,1,1683806842,active,0,,,,
0.0,0.0,1,561,8,4,1,False,0,3,a3b22d3d-a135-11e9-9cda-0a87ae2ba916,1,1683806838,active,0,,,,
0.0,0.0,1,564,5,0,1,False,0,6,a3b23cb8-a135-11e9-9cda-0a87ae2ba916,1,1683806844,active,0,,,,
0.0,0.0,1,13,7,1,1,False,0,28,a3a3a282-a135-11e9-9cda-0a87ae2ba916,1,1683806849,active,0,,,,
0.0,0.0,1,335,10,3,1,False,0,5,a3aae35a-a135-11e9-9cda-0a87ae2ba916,1,1683806849,active,0,,,,
0.0,0.0,1,690,5,0,1,False,0,9,792ceba0-564f-4a2c-bcb5-90da781ffeef,1,1683806847,active,1,,,,
0.0,0.0,1,457,2,2,1,False,0,13,a3af2737-a135-11e9-9cda-0a87ae2ba916,1,1683806850,active,0,,,,
2.0,0.0,1,110,3,1,1,False,1,21,a3a5700b-a135-11e9-9cda-0a87ae2ba916,1,1683806847,active,0,,,,
0.0,0.0,1,593,5,0,1,False,0,6,a3b2d2b7-a135-11e9-9cda-0a87ae2ba916,1,1683806856,active,0,,,,
0.0,0.0,1,290,10,3,1,False,0,5,a3a9f76a-a135-11e9-9cda-0a87ae2ba916,1,1683806857,active,0,,,,
,,1,346,0,0,1,False,0,14,a3ac1607-a135-11e9-9cda-0a87ae2ba916,1,1683806857,active,0,,,,
0.0,0.0,1,142,7,3,1,False,1,23,a3a614ad-a135-11e9-9cda-0a87ae2ba916,1,1683806855,active,0,,,,
2.0,0.0,1,17,8,3,1,False,0,13,a3a3b731-a135-11e9-9cda-0a87ae2ba916,1,1683806855,active,0,,,,
0.0,0.0,1,594,10,1,1,False,1,1,a3b2d7d9-a135-11e9-9cda-0a87ae2ba916,1,1683806854,active,0,,,,
0.0,0.0,1,559,5,1,1,False,0,6,a3b222fc-a135-11e9-9cda-0a87ae2ba916,1,1683806854,active,0,,,,
0.0,0.0,1,184,2,0,1,False,0,17,a3a75d8a-a135-11e9-9cda-0a87ae2ba916,1,1683806859,active,0,,,,
2.0,0.0,1,58,4,3,1,False,0,17,a3a48d5c-a135-11e9-9cda-0a87ae2ba916,1,1683806860,active,0,,,,
0.0,0.0,1,655,6,6,1,False,1,8,a3b477ac-a135-11e9-9cda-0a87ae2ba916,1,1683806857,active,0,,,,
0.0,0.0,1,183,4,3,1,False,0,19,a3a75885-a135-11e9-9cda-0a87ae2ba916,1,1683806857,active,0,,,,
